AC   MIPF0000015
ID   MIR399
MI   MI0000892  rno-mir-124a-3
MI   MI0000893  rno-mir-124a-1
MI   MI0000894  rno-mir-124a-2
MI   MI0001197  gga-mir-124a
MI   MI0001252  gga-mir-124b-1
MI   MI0001253  gga-mir-124b-2
MI   MI0001323  dps-mir-124
MI   MI0001577  ame-mir-124
MI   MI0001604  aga-mir-124
MI   MI0001966  dre-mir-124-1
MI   MI0001967  dre-mir-124-2
MI   MI0001968  dre-mir-124-3
MI   MI0001969  dre-mir-124-4
MI   MI0001970  dre-mir-124-5
MI   MI0001971  dre-mir-124-6
MI   MI0002450  ssc-mir-124a
MI   MI0002761  ggo-mir-124a
MI   MI0002762  age-mir-124a
MI   MI0002763  ppa-mir-124a
MI   MI0002764  ppy-mir-124a
MI   MI0002765  ptr-mir-124a
MI   MI0002766  mml-mir-124a
MI   MI0002767  lla-mir-124a
MI   MI0003211  fru-mir-124-3
MI   MI0003212  tni-mir-124-3
MI   MI0003287  fru-mir-124-1
MI   MI0003288  tni-mir-124-1
MI   MI0003354  fru-mir-124-2
MI   MI0003355  tni-mir-124-2
MI   MI0004930  xtr-mir-124
MI   MI0004976  bmo-mir-124
MI   MI0005027  bta-mir-124a
MI   MI0005288  mdo-mir-124a-1
MI   MI0005289  mdo-mir-124a-2
MI   MI0005290  mdo-mir-124a-3
//
AC   MIPF0000022
ID   mir-7
MI   MI0000127  dme-mir-7
MI   MI0000263  hsa-mir-7-1
MI   MI0000264  hsa-mir-7-2
MI   MI0000265  hsa-mir-7-3
MI   MI0000641  rno-mir-7-1
MI   MI0000728  mmu-mir-7-1
MI   MI0000729  mmu-mir-7-2
MI   MI0000730  mmu-mir-7b
MI   MI0000836  rno-mir-7-2
MI   MI0000837  rno-mir-7b
MI   MI0001226  gga-mir-7-2
MI   MI0001269  gga-mir-7-3
MI   MI0001272  gga-mir-7-1
MI   MI0001279  gga-mir-7b-1
MI   MI0001286  gga-mir-7b-2
MI   MI0001302  dps-mir-7
MI   MI0001360  dre-mir-7b
MI   MI0001361  dre-mir-7a-1
MI   MI0001362  dre-mir-7a-2
MI   MI0001594  ame-mir-7
MI   MI0001628  aga-mir-7
MI   MI0001879  dre-mir-7a-3
MI   MI0002435  ssc-mir-7
MI   MI0002775  ggo-mir-7-1
MI   MI0002776  ppy-mir-7-1
MI   MI0002777  sla-mir-7
MI   MI0002778  lla-mir-7
MI   MI0002779  mne-mir-7-1
MI   MI0002780  ppa-mir-7-1
MI   MI0002781  ggo-mir-7-2
MI   MI0002782  ppy-mir-7-2
MI   MI0002783  mne-mir-7-2
MI   MI0002784  ppa-mir-7-2
MI   MI0002785  ptr-mir-7
MI   MI0002786  ggo-mir-7-3
MI   MI0002787  ppa-mir-7-3
MI   MI0003337  fru-mir-7
MI   MI0003338  tni-mir-7
MI   MI0004790  xtr-mir-7-1
MI   MI0004791  xtr-mir-7-3
MI   MI0004792  xtr-mir-7-2
MI   MI0004970  bmo-mir-7
MI   MI0005056  bta-mir-7
MI   MI0005270  mdo-mir-7
//
AC   MIPF0000023
ID   MIR167_1
MI   MI0000208  ath-MIR167a
MI   MI0000209  ath-MIR167b
MI   MI0000676  osa-MIR167a
MI   MI0000677  osa-MIR167b
MI   MI0000678  osa-MIR167c
MI   MI0000975  ath-MIR167d
MI   MI0001109  osa-MIR167d
MI   MI0001110  osa-MIR167e
MI   MI0001111  osa-MIR167f
MI   MI0001112  osa-MIR167g
MI   MI0001113  osa-MIR167h
MI   MI0001114  osa-MIR167i
MI   MI0001156  osa-MIR167j
MI   MI0001475  zma-MIR167a
MI   MI0001476  zma-MIR167b
MI   MI0001477  zma-MIR167d
MI   MI0001478  zma-MIR167c
MI   MI0001513  sbi-MIR167a
MI   MI0001514  sbi-MIR167b
MI   MI0001551  sbi-MIR167d
MI   MI0001553  sbi-MIR167g
MI   MI0001555  sbi-MIR167c
MI   MI0001777  gma-MIR167a
MI   MI0001778  gma-MIR167b
MI   MI0001819  zma-MIR167e
MI   MI0001820  zma-MIR167f
MI   MI0001822  zma-MIR167h
MI   MI0001823  zma-MIR167i
MI   MI0002235  ptc-MIR167a
MI   MI0002236  ptc-MIR167b
MI   MI0002237  ptc-MIR167c
MI   MI0002238  ptc-MIR167d
MI   MI0002239  ptc-MIR167e
MI   MI0002240  ptc-MIR167f
MI   MI0002241  ptc-MIR167g
MI   MI0002242  ptc-MIR167h
//
AC   MIPF0000024
ID   mir-103
MI   MI0000108  hsa-mir-103-2
MI   MI0000109  hsa-mir-103-1
MI   MI0000114  hsa-mir-107
MI   MI0000587  mmu-mir-103-1
MI   MI0000588  mmu-mir-103-2
MI   MI0000684  mmu-mir-107
MI   MI0000887  rno-mir-103-2
MI   MI0000888  rno-mir-103-1
MI   MI0000890  rno-mir-107
MI   MI0001213  gga-mir-103-2
MI   MI0001215  gga-mir-107
MI   MI0001236  gga-mir-103-1
MI   MI0001962  dre-mir-103
MI   MI0001963  dre-mir-107
MI   MI0002448  ssc-mir-103
MI   MI0002449  ssc-mir-107
MI   MI0002738  age-mir-103
MI   MI0002739  ggo-mir-103
MI   MI0002740  ppa-mir-103
MI   MI0002741  ppy-mir-103
MI   MI0002742  ptr-mir-103
MI   MI0002743  mml-mir-103
MI   MI0002744  lla-mir-103
MI   MI0002745  mne-mir-103
MI   MI0002754  mml-mir-107
MI   MI0002755  ptr-mir-107
MI   MI0002756  ggo-mir-107
MI   MI0002757  ppy-mir-107
MI   MI0002758  lla-mir-107
MI   MI0002759  mne-mir-107
MI   MI0002760  ppa-mir-107
MI   MI0003377  fru-mir-103
MI   MI0003378  tni-mir-103
MI   MI0003379  fru-mir-107
MI   MI0003380  tni-mir-107
MI   MI0004736  bta-mir-103
MI   MI0004823  xtr-mir-107
MI   MI0004904  xtr-mir-103-1
MI   MI0004929  xtr-mir-103-2
MI   MI0005006  bta-mir-107
MI   MI0005284  mdo-mir-103-1
MI   MI0005285  mdo-mir-103-2
MI   MI0005286  mdo-mir-107
//
AC   MIPF0000025
ID   mir-99
MI   MI0000101  hsa-mir-99a
MI   MI0000102  hsa-mir-100
MI   MI0000146  mmu-mir-99a
MI   MI0000147  mmu-mir-99b
MI   MI0000378  dme-mir-100
MI   MI0000692  mmu-mir-100
MI   MI0000746  hsa-mir-99b
MI   MI0000883  rno-mir-99a
MI   MI0000884  rno-mir-99b
MI   MI0000885  rno-mir-100
MI   MI0001173  gga-mir-99a
MI   MI0001258  gga-mir-100
MI   MI0001322  dps-mir-100
MI   MI0001603  aga-mir-100
MI   MI0001956  dre-mir-99-1
MI   MI0001957  dre-mir-99-2
MI   MI0001958  dre-mir-100-1
MI   MI0001959  dre-mir-100-2
MI   MI0002702  mml-mir-99a
MI   MI0002703  ptr-mir-99a
MI   MI0002704  ggo-mir-99a
MI   MI0002705  ppy-mir-99a
MI   MI0002706  lla-mir-99a
MI   MI0002707  mne-mir-99a
MI   MI0002708  ppa-mir-99a
MI   MI0002709  ggo-mir-100
MI   MI0002710  age-mir-100
MI   MI0002711  ppa-mir-100
MI   MI0002712  ppy-mir-100
MI   MI0002713  ptr-mir-100
MI   MI0002714  mml-mir-100
MI   MI0002715  sla-mir-100
MI   MI0002716  lla-mir-100
MI   MI0003409  fru-mir-100
MI   MI0003410  tni-mir-100
MI   MI0004751  bta-mir-99a
MI   MI0004821  xtr-mir-99
MI   MI0004927  xtr-mir-100
MI   MI0005281  mdo-mir-100
//
AC   MIPF0000026
ID   mir-218
MI   MI0000294  hsa-mir-218-1
MI   MI0000295  hsa-mir-218-2
MI   MI0000700  mmu-mir-218-1
MI   MI0000701  mmu-mir-218-2
MI   MI0000957  rno-mir-218-2
MI   MI0000958  rno-mir-218-1
MI   MI0001212  gga-mir-218-1
MI   MI0001237  gga-mir-218-2
MI   MI0001284  gga-mir-218-3
MI   MI0002051  dre-mir-218a-1
MI   MI0002052  dre-mir-218a-2
MI   MI0002053  dre-mir-218b
MI   MI0002868  ggo-mir-218
MI   MI0002869  age-mir-218
MI   MI0002870  ppa-mir-218-1
MI   MI0002871  lca-mir-218
MI   MI0002872  ppy-mir-218-1
MI   MI0002873  ptr-mir-218-1
MI   MI0002874  sla-mir-218-1
MI   MI0002875  lla-mir-218-1
MI   MI0002876  mne-mir-218-1
MI   MI0002877  ppa-mir-218-2
MI   MI0002878  ppy-mir-218-2
MI   MI0002879  ptr-mir-218-2
MI   MI0002880  mml-mir-218
MI   MI0002881  sla-mir-218-2
MI   MI0002882  lla-mir-218-2
MI   MI0002883  mne-mir-218-2
MI   MI0003307  fru-mir-218b
MI   MI0003308  tni-mir-218b
MI   MI0003317  fru-mir-218a-1
MI   MI0003318  tni-mir-218a-1
MI   MI0003390  fru-mir-218a-2
MI   MI0003391  tni-mir-218a-2
MI   MI0004871  xtr-mir-218-1
MI   MI0004872  xtr-mir-218-2
MI   MI0005017  bta-mir-218
MI   MI0005322  mdo-mir-218
//
AC   MIPF0000027
ID   mir-23
MI   MI0000079  hsa-mir-23a
MI   MI0000141  mmu-mir-23b
MI   MI0000439  hsa-mir-23b
MI   MI0000571  mmu-mir-23a
MI   MI0000852  rno-mir-23a
MI   MI0000853  rno-mir-23b
MI   MI0001273  gga-mir-23b
MI   MI0001913  dre-mir-23a-1
MI   MI0001915  dre-mir-23a-2
MI   MI0001916  dre-mir-23a-3
MI   MI0001917  dre-mir-23b
MI   MI0002427  ssc-mir-23a
MI   MI0002499  ptr-mir-23b
MI   MI0002500  ppy-mir-23b
MI   MI0002501  ppa-mir-23b
MI   MI0003035  ggo-mir-23a
MI   MI0003038  age-mir-23a
MI   MI0003040  ppa-mir-23a
MI   MI0003043  lca-mir-23a
MI   MI0003045  ppy-mir-23a
MI   MI0003048  ptr-mir-23a
MI   MI0003051  mml-mir-23a
MI   MI0003054  sla-mir-23a
MI   MI0003056  mne-mir-23a
MI   MI0003227  fru-mir-23a-2
MI   MI0003228  tni-mir-23a-2
MI   MI0003269  fru-mir-23b
MI   MI0003270  tni-mir-23b
MI   MI0003415  fru-mir-23a-1
MI   MI0003416  tni-mir-23a-1
MI   MI0003429  fru-mir-23a-3
MI   MI0003430  tni-mir-23a-3
MI   MI0004806  xtr-mir-23a-2
MI   MI0004894  xtr-mir-23a-1
MI   MI0004913  xtr-mir-23b
MI   MI0005042  bta-mir-23a
MI   MI0005066  bta-mir-23b
MI   MI0005363  mdo-mir-23a
MI   MI0005366  mdo-mir-23b
//
AC   MIPF0000028
ID   mir-135
MI   MI0000161  mmu-mir-135a-1
MI   MI0000452  hsa-mir-135a-1
MI   MI0000453  hsa-mir-135a-2
MI   MI0000645  rno-mir-135b
MI   MI0000646  mmu-mir-135b
MI   MI0000715  mmu-mir-135a-2
MI   MI0000810  hsa-mir-135b
MI   MI0000908  rno-mir-135a
MI   MI0001169  gga-mir-135a-2
MI   MI0001231  gga-mir-135a-1
MI   MI0001264  gga-mir-135a-3
MI   MI0001996  dre-mir-135c-1
MI   MI0001997  dre-mir-135c-2
MI   MI0001998  dre-mir-135c-3
MI   MI0002415  ssc-mir-135-1
MI   MI0002416  ssc-mir-135-2
MI   MI0002537  lla-mir-135-1
MI   MI0002538  age-mir-135-1
MI   MI0002539  ppa-mir-135-1
MI   MI0002540  mml-mir-135
MI   MI0002541  ptr-mir-135
MI   MI0002542  ggo-mir-135
MI   MI0002543  ppy-mir-135
MI   MI0002544  lla-mir-135-2
MI   MI0002545  age-mir-135-2
MI   MI0002546  ppa-mir-135-2
MI   MI0003362  fru-mir-135b
MI   MI0003363  tni-mir-135b
MI   MI0003364  dre-mir-135b
MI   MI0003388  fru-mir-135a
MI   MI0003389  tni-mir-135a
MI   MI0003692  dre-mir-135a
MI   MI0004838  xtr-mir-135-1
MI   MI0004933  xtr-mir-135-2
MI   MI0005297  mdo-mir-135a
MI   MI0005298  mdo-mir-135b
//
AC   MIPF0000029
ID   mir-133
MI   MI0000159  mmu-mir-133a-1
MI   MI0000362  dme-mir-133
MI   MI0000450  hsa-mir-133a-1
MI   MI0000451  hsa-mir-133a-2
MI   MI0000820  mmu-mir-133a-2
MI   MI0000821  mmu-mir-133b
MI   MI0000822  hsa-mir-133b
MI   MI0000906  rno-mir-133a
MI   MI0001195  gga-mir-133a-1
MI   MI0001206  gga-mir-133b
MI   MI0001248  gga-mir-133a-2
MI   MI0001255  gga-mir-133c
MI   MI0001325  dps-mir-133
MI   MI0001455  xla-mir-133a
MI   MI0001579  ame-mir-133
MI   MI0001606  aga-mir-133
MI   MI0001992  dre-mir-133a-2
MI   MI0001993  dre-mir-133a-1
MI   MI0001994  dre-mir-133b
MI   MI0001995  dre-mir-133c
MI   MI0002528  ggo-mir-133a
MI   MI0002529  age-mir-133a
MI   MI0002530  ppa-mir-133a
MI   MI0002531  ppy-mir-133a
MI   MI0002532  ptr-mir-133a
MI   MI0002533  mml-mir-133a
MI   MI0002534  sla-mir-133a
MI   MI0002535  lla-mir-133a
MI   MI0002536  mne-mir-133a
MI   MI0003397  fru-mir-133
MI   MI0003398  tni-mir-133
MI   MI0003490  rno-mir-133b
MI   MI0004835  xtr-mir-133c
MI   MI0004836  xtr-mir-133d
MI   MI0004837  xtr-mir-133b
MI   MI0004962  xtr-mir-133a
MI   MI0005296  mdo-mir-133a
//
AC   MIPF0000030
ID   MIR171_1
MI   MI0000213  ath-MIR170
MI   MI0000214  ath-MIR171a
MI   MI0000680  osa-MIR171a
MI   MI0000989  ath-MIR171b
MI   MI0000990  ath-MIR171c
MI   MI0001133  osa-MIR171b
MI   MI0001134  osa-MIR171c
MI   MI0001135  osa-MIR171d
MI   MI0001136  osa-MIR171e
MI   MI0001137  osa-MIR171f
MI   MI0001155  osa-MIR171i
MI   MI0001491  zma-MIR171a
MI   MI0001492  zma-MIR171b
MI   MI0001564  sbi-MIR171b
MI   MI0001565  sbi-MIR171d
MI   MI0001566  sbi-MIR171a
MI   MI0001753  mtr-MIR171
MI   MI0001792  zma-MIR171d
MI   MI0001793  zma-MIR171f
MI   MI0001835  zma-MIR171c
MI   MI0001836  zma-MIR171j
MI   MI0001837  zma-MIR171e
MI   MI0001838  zma-MIR171i
MI   MI0002277  ptc-MIR171a
MI   MI0002278  ptc-MIR171b
MI   MI0002279  ptc-MIR171c
MI   MI0002280  ptc-MIR171d
MI   MI0002281  ptc-MIR171e
MI   MI0002282  ptc-MIR171f
MI   MI0002283  ptc-MIR171g
MI   MI0002284  ptc-MIR171h
MI   MI0002285  ptc-MIR171i
MI   MI0005114  ptc-MIR171k
//
AC   MIPF0000031
ID   mir-196
MI   MI0000238  hsa-mir-196a-1
MI   MI0000279  hsa-mir-196a-2
MI   MI0000552  mmu-mir-196a-1
MI   MI0000553  mmu-mir-196a-2
MI   MI0000940  rno-mir-196a
MI   MI0001150  hsa-mir-196b
MI   MI0001151  mmu-mir-196b
MI   MI0001152  rno-mir-196b
MI   MI0001190  gga-mir-196-2
MI   MI0001268  gga-mir-196-1
MI   MI0001282  gga-mir-196-3
MI   MI0001372  dre-mir-196a-1
MI   MI0002035  dre-mir-196a-2
MI   MI0002036  dre-mir-196b
MI   MI0002457  ssc-mir-196
MI   MI0002821  mml-mir-196
MI   MI0002822  ggo-mir-196-1
MI   MI0002823  ppy-mir-196-1
MI   MI0002824  ptr-mir-196
MI   MI0002825  ggo-mir-196-2
MI   MI0002826  ppy-mir-196-2
MI   MI0002827  lla-mir-196
MI   MI0002828  age-mir-196
MI   MI0002829  ppa-mir-196
MI   MI0003271  fru-mir-196a-2
MI   MI0003272  tni-mir-196a-2
MI   MI0003299  fru-mir-196a-1
MI   MI0003300  tni-mir-196a-1
MI   MI0003365  fru-mir-196b
MI   MI0003366  tni-mir-196b
MI   MI0004942  xtr-mir-196a
MI   MI0004943  xtr-mir-196b
MI   MI0005313  mdo-mir-196b
//
AC   MIPF0000032
ID   MIR160
MI   MI0000190  ath-MIR160a
MI   MI0000191  ath-MIR160b
MI   MI0000192  ath-MIR160c
MI   MI0000663  osa-MIR160a
