AC   MIPF0000001
ID   mir-17
MI   MI0004888  xtr-let-7g
MI   MI0004889  xtr-let-7i
MI   MI0004907  xtr-let-7e-1
MI   MI0004908  xtr-let-7a
MI   MI0004909  xtr-let-7e-2
MI   MI0004968  bmo-let-7
MI   MI0005025  bta-mir-98
MI   MI0005026  bta-let-7d
MI   MI0005051  bta-let-7g
MI   MI0005057  bta-let-7a
MI   MI0005062  bta-let-7f-1
MI   MI0005065  bta-let-7i
MI   MI0005330  mdo-let-7a-2
MI   MI0005331  mdo-let-7g
MI   MI0005332  mdo-let-7i
MI   MI0005349  mdo-let-7f-2
MI   MI0005350  mdo-let-7a-3
MI   MI0005351  mdo-let-7b
MI   MI0005360  mdo-let-7a-1
MI   MI0005361  mdo-let-7f-1
MI   MI0005362  mdo-let-7d
//
AC   MIPF0000003
ID   mir-430
MI   MI0001527  dre-mir-430a-1
MI   MI0001528  dre-mir-430b-1
MI   MI0001529  dre-mir-430c-1
MI   MI0002079  dre-mir-430c-2
MI   MI0002080  dre-mir-430c-3
MI   MI0002081  dre-mir-430c-4
MI   MI0002082  dre-mir-430c-5
MI   MI0002083  dre-mir-430c-6
MI   MI0002087  dre-mir-430c-7
MI   MI0002088  dre-mir-430c-8
MI   MI0002089  dre-mir-430c-9
MI   MI0002090  dre-mir-430c-10
MI   MI0002091  dre-mir-430c-11
MI   MI0002092  dre-mir-430c-12
MI   MI0002093  dre-mir-430c-13
MI   MI0002094  dre-mir-430c-14
MI   MI0002095  dre-mir-430c-15
MI   MI0002096  dre-mir-430c-16
MI   MI0002097  dre-mir-430c-17
MI   MI0002098  dre-mir-430c-18
MI   MI0002099  dre-mir-430c-19
MI   MI0002100  dre-mir-430c-20
MI   MI0002101  dre-mir-430c-21
MI   MI0002111  dre-mir-430a-2
MI   MI0002112  dre-mir-430a-3
MI   MI0002113  dre-mir-430a-4
MI   MI0002114  dre-mir-430a-5
MI   MI0002115  dre-mir-430a-6
MI   MI0002116  dre-mir-430a-7
MI   MI0002117  dre-mir-430a-8
MI   MI0002118  dre-mir-430a-9
MI   MI0002119  dre-mir-430a-10
MI   MI0002120  dre-mir-430a-11
MI   MI0002121  dre-mir-430a-12
MI   MI0002122  dre-mir-430a-13
MI   MI0002123  dre-mir-430a-14
MI   MI0002124  dre-mir-430a-15
MI   MI0002125  dre-mir-430a-16
MI   MI0002126  dre-mir-430a-17
MI   MI0002131  dre-mir-430a-18
MI   MI0002132  dre-mir-430a-19
MI   MI0002133  dre-mir-430a-20
MI   MI0002134  dre-mir-430a-21
MI   MI0002135  dre-mir-430a-22
MI   MI0002138  dre-mir-430a-23
MI   MI0002139  dre-mir-430i-1
MI   MI0002140  dre-mir-430i-2
MI   MI0002141  dre-mir-430i-3
MI   MI0002142  dre-mir-430b-2
MI   MI0002143  dre-mir-430b-3
MI   MI0002144  dre-mir-430b-4
MI   MI0002146  dre-mir-430b-6
MI   MI0002147  dre-mir-430b-7
MI   MI0002148  dre-mir-430b-8
MI   MI0002149  dre-mir-430b-9
MI   MI0002150  dre-mir-430b-10
MI   MI0002151  dre-mir-430b-11
MI   MI0002152  dre-mir-430b-12
MI   MI0002153  dre-mir-430b-13
MI   MI0002154  dre-mir-430b-14
MI   MI0002155  dre-mir-430b-15
MI   MI0002156  dre-mir-430b-16
MI   MI0002157  dre-mir-430b-17
MI   MI0002158  dre-mir-430b-18
MI   MI0002166  dre-mir-430b-5
MI   MI0002170  dre-mir-430b-19
MI   MI0002171  dre-mir-430b-20
MI   MI0002172  dre-mir-430b-21
MI   MI0002173  dre-mir-430b-22
MI   MI0002174  dre-mir-430b-23
MI   MI0002175  dre-mir-430j
//
AC   MIPF0000004
ID   MIR166
MI   MI0000199  ath-MIR165a
MI   MI0000200  ath-MIR165b
MI   MI0000201  ath-MIR166a
MI   MI0000202  ath-MIR166b
MI   MI0000203  ath-MIR166c
MI   MI0000204  ath-MIR166d
MI   MI0000205  ath-MIR166e
MI   MI0000206  ath-MIR166f
MI   MI0000207  ath-MIR166g
MI   MI0000670  osa-MIR166a
MI   MI0000671  osa-MIR166b
MI   MI0000672  osa-MIR166c
MI   MI0000673  osa-MIR166d
MI   MI0000674  osa-MIR166e
MI   MI0000675  osa-MIR166f
MI   MI0001106  osa-MIR166j
MI   MI0001107  osa-MIR166k
MI   MI0001108  osa-MIR166l
MI   MI0001142  osa-MIR166g
MI   MI0001143  osa-MIR166h
MI   MI0001144  osa-MIR166i
MI   MI0001157  osa-MIR166m
MI   MI0001158  osa-MIR166n
MI   MI0001480  zma-MIR166a
MI   MI0001482  zma-MIR166h
MI   MI0001483  zma-MIR166e
MI   MI0001485  zma-MIR166i
MI   MI0001486  zma-MIR166f
MI   MI0001487  zma-MIR166g
MI   MI0001488  zma-MIR166b
MI   MI0001489  zma-MIR166c
MI   MI0001490  zma-MIR166d
MI   MI0001497  sbi-MIR166d
MI   MI0001498  sbi-MIR166c
MI   MI0001499  sbi-MIR166b
MI   MI0001500  sbi-MIR166a
MI   MI0001550  sbi-MIR166e
MI   MI0001569  sbi-MIR166f
MI   MI0001740  mtr-MIR166
MI   MI0001775  gma-MIR166a
MI   MI0001776  gma-MIR166b
MI   MI0001817  zma-MIR166k
MI   MI0001818  zma-MIR166j
MI   MI0001841  zma-MIR166l
MI   MI0001842  zma-MIR166m
MI   MI0001853  sbi-MIR166g
MI   MI0002218  ptc-MIR166a
MI   MI0002219  ptc-MIR166b
MI   MI0002220  ptc-MIR166c
MI   MI0002221  ptc-MIR166d
MI   MI0002222  ptc-MIR166e
MI   MI0002223  ptc-MIR166f
MI   MI0002224  ptc-MIR166g
MI   MI0002225  ptc-MIR166h
MI   MI0002226  ptc-MIR166i
MI   MI0002227  ptc-MIR166j
MI   MI0002228  ptc-MIR166k
MI   MI0002229  ptc-MIR166l
MI   MI0002230  ptc-MIR166m
MI   MI0002231  ptc-MIR166n
MI   MI0002232  ptc-MIR166o
MI   MI0002233  ptc-MIR166p
MI   MI0002234  ptc-MIR166q
//
AC   MIPF0000005
ID   mir-30
MI   MI0000088  hsa-mir-30a
MI   MI0000144  mmu-mir-30a
MI   MI0000145  mmu-mir-30b
MI   MI0000254  hsa-mir-30c-2
MI   MI0000255  hsa-mir-30d
MI   MI0000259  mmu-mir-30e
MI   MI0000441  hsa-mir-30b
MI   MI0000547  mmu-mir-30c-1
MI   MI0000548  mmu-mir-30c-2
MI   MI0000549  mmu-mir-30d
MI   MI0000736  hsa-mir-30c-1
MI   MI0000749  hsa-mir-30e
MI   MI0000866  rno-mir-30c-1
MI   MI0000867  rno-mir-30e
MI   MI0000868  rno-mir-30b
MI   MI0000869  rno-mir-30d
MI   MI0000870  rno-mir-30a
MI   MI0000871  rno-mir-30c-2
MI   MI0001198  gga-mir-30d
MI   MI0001199  gga-mir-30b
MI   MI0001204  gga-mir-30a
MI   MI0001205  gga-mir-30c-2
MI   MI0001256  gga-mir-30e
MI   MI0001257  gga-mir-30c-1
MI   MI0001940  dre-mir-30a
MI   MI0001941  dre-mir-30b
MI   MI0001944  dre-mir-30c
MI   MI0001946  dre-mir-30d
MI   MI0001950  dre-mir-30e-2
MI   MI0002461  ssc-mir-30c
MI   MI0002502  mml-mir-30b
MI   MI0002503  ptr-mir-30b
MI   MI0002504  ggo-mir-30b
MI   MI0002505  lla-mir-30b
MI   MI0002506  mne-mir-30b
MI   MI0002507  age-mir-30b
MI   MI0002508  ppa-mir-30b
MI   MI0002666  mml-mir-30a
MI   MI0002667  ptr-mir-30a
MI   MI0002668  ggo-mir-30a
MI   MI0002669  ppy-mir-30a
MI   MI0002670  ppa-mir-30a
MI   MI0002923  ptr-mir-30c
MI   MI0002924  lla-mir-30c
MI   MI0002925  mne-mir-30c
MI   MI0002926  ptr-mir-30d
MI   MI0002927  ggo-mir-30d
MI   MI0002928  mne-mir-30d
MI   MI0002929  ppa-mir-30d
MI   MI0003263  fru-mir-30b
MI   MI0003264  tni-mir-30b
MI   MI0003265  fru-mir-30d
MI   MI0003266  tni-mir-30d
MI   MI0003350  fru-mir-30c
MI   MI0003351  tni-mir-30c
MI   MI0004747  bta-mir-30d
MI   MI0004761  bta-mir-30b
MI   MI0004813  xtr-mir-30a
MI   MI0004814  xtr-mir-30b
MI   MI0004815  xtr-mir-30c-1
MI   MI0004898  xtr-mir-30d
MI   MI0004919  xtr-mir-30c-2
MI   MI0004920  xtr-mir-30e
MI   MI0005018  bta-mir-30e
MI   MI0005054  bta-mir-30a
MI   MI0005064  bta-mir-30c
MI   MI0005277  mdo-mir-30a
//
AC   MIPF0000006
ID   mir-15
MI   MI0000069  hsa-mir-15a
MI   MI0000070  hsa-mir-16-1
MI   MI0000115  hsa-mir-16-2
MI   MI0000140  mmu-mir-15b
MI   MI0000237  mmu-mir-195
MI   MI0000438  hsa-mir-15b
MI   MI0000489  hsa-mir-195
MI   MI0000564  mmu-mir-15a
MI   MI0000565  mmu-mir-16-1
MI   MI0000566  mmu-mir-16-2
MI   MI0000843  rno-mir-15b
MI   MI0000844  rno-mir-16
MI   MI0000939  rno-mir-195
MI   MI0001185  gga-mir-16-1
MI   MI0001186  gga-mir-15a
MI   MI0001222  gga-mir-16-2
MI   MI0001223  gga-mir-15b
MI   MI0001891  dre-mir-15a-1
MI   MI0001892  dre-mir-15a-2
MI   MI0001893  dre-mir-15b
MI   MI0001894  dre-mir-16a
MI   MI0001895  dre-mir-16b
MI   MI0001896  dre-mir-16c
MI   MI0002177  dre-mir-457a
MI   MI0002178  dre-mir-457b
MI   MI0002419  ssc-mir-15b
MI   MI0002491  ggo-mir-15b
MI   MI0002492  age-mir-15b
MI   MI0002493  ppa-mir-15b
MI   MI0002494  ppy-mir-15b
MI   MI0002495  ptr-mir-15b
MI   MI0002496  mml-mir-15b
MI   MI0002497  lla-mir-15b
MI   MI0002498  mne-mir-15b
MI   MI0002617  ggo-mir-195
MI   MI0002618  ppa-mir-195
MI   MI0002945  age-mir-15a
MI   MI0002946  age-mir-16
MI   MI0002947  ggo-mir-15a
MI   MI0002948  ggo-mir-16
MI   MI0002949  mne-mir-15a
MI   MI0002950  mne-mir-16
MI   MI0002951  sla-mir-15a
MI   MI0002952  sla-mir-16
MI   MI0002953  ppa-mir-15a
MI   MI0002954  ppa-mir-16
MI   MI0002955  lca-mir-15a
MI   MI0002956  lca-mir-16
MI   MI0002957  mml-mir-15a
MI   MI0002958  mml-mir-16
MI   MI0002959  ppy-mir-15a
MI   MI0002960  ppy-mir-16
MI   MI0002961  ptr-mir-15a
MI   MI0002962  ptr-mir-16
MI   MI0002963  lla-mir-15a
MI   MI0002964  lla-mir-16
MI   MI0003447  fru-mir-15b
MI   MI0003448  tni-mir-15b
MI   MI0003469  fru-mir-15a
MI   MI0003470  tni-mir-15a
MI   MI0003471  fru-mir-16
MI   MI0003472  tni-mir-16
MI   MI0004739  bta-mir-16
MI   MI0004779  dre-mir-15c
MI   MI0004799  xtr-mir-15a
MI   MI0004800  xtr-mir-15b
MI   MI0004801  xtr-mir-16c
MI   MI0004802  xtr-mir-16a
MI   MI0004892  xtr-mir-15c
MI   MI0004910  xtr-mir-16b
MI   MI0005012  bta-mir-15b
MI   MI0005333  mdo-mir-15a
MI   MI0005334  mdo-mir-16
//
AC   MIPF0000007
ID   mir-181
MI   MI0000223  mmu-mir-181a-2
MI   MI0000269  hsa-mir-181a-2
MI   MI0000270  hsa-mir-181b-1
MI   MI0000271  hsa-mir-181c
MI   MI0000289  hsa-mir-181a-1
MI   MI0000683  hsa-mir-181b-2
MI   MI0000697  mmu-mir-181a-1
MI   MI0000723  mmu-mir-181b-1
MI   MI0000724  mmu-mir-181c
MI   MI0000823  mmu-mir-181b-2
MI   MI0000924  rno-mir-181c
MI   MI0000925  rno-mir-181a-2
MI   MI0000926  rno-mir-181b-1
MI   MI0000927  rno-mir-181b-2
MI   MI0000953  rno-mir-181a-1
MI   MI0001218  gga-mir-181a-1
MI   MI0001219  gga-mir-181b-1
MI   MI0001242  gga-mir-181b-2
MI   MI0001243  gga-mir-181a-2
MI   MI0001366  dre-mir-181b-1
MI   MI0001367  dre-mir-181b-2
MI   MI0001380  dre-mir-181a-1
MI   MI0002024  dre-mir-181c
MI   MI0002420  ssc-mir-181b
MI   MI0002438  ssc-mir-181c
MI   MI0002805  ggo-mir-181a-2
MI   MI0002806  ppa-mir-181a-2
MI   MI0002807  ptr-mir-181a-2
MI   MI0002808  mml-mir-181a-2
MI   MI0002809  sla-mir-181a-2
MI   MI0002810  mne-mir-181a-2
MI   MI0002811  mml-mir-181c
MI   MI0002812  ptr-mir-181c
MI   MI0002813  ggo-mir-181c
MI   MI0002814  ppa-mir-181c
MI   MI0002931  mml-mir-181a-1
MI   MI0002932  mml-mir-181b
MI   MI0002933  ptr-mir-181a-1
MI   MI0002934  ptr-mir-181b
MI   MI0002935  ppy-mir-181a-1
MI   MI0002936  ppy-mir-181b
MI   MI0002937  ggo-mir-181a-1
MI   MI0002938  ggo-mir-181b
MI   MI0002939  lla-mir-181a-1
MI   MI0002940  lla-mir-181b
MI   MI0002941  mne-mir-181a-1
MI   MI0002942  mne-mir-181b
MI   MI0002943  ppa-mir-181a-1
MI   MI0002944  ppa-mir-181b
MI   MI0003139  hsa-mir-181d
MI   MI0003331  fru-mir-181b-1
MI   MI0003332  tni-mir-181b-1
MI   MI0003333  fru-mir-181a-1
MI   MI0003334  tni-mir-181a-1
MI   MI0003375  fru-mir-181b-2
MI   MI0003376  tni-mir-181b-2
MI   MI0003386  tni-mir-181a-2
MI   MI0003387  dre-mir-181a-2
MI   MI0003475  fru-mir-181a-2
MI   MI0004757  bta-mir-181a-2
MI   MI0004849  xtr-mir-181b-1
MI   MI0004850  xtr-mir-181b-2
MI   MI0004865  xtr-mir-181a-1
MI   MI0004866  xtr-mir-181a-2
MI   MI0005013  bta-mir-181b
MI   MI0005032  bta-mir-181c
MI   MI0005310  mdo-mir-181c
MI   MI0005343  mdo-mir-181a
MI   MI0005344  mdo-mir-181b
//
AC   MIPF0000008
ID   MIR156
MI   MI0000178  ath-MIR156a
MI   MI0000179  ath-MIR156b
MI   MI0000180  ath-MIR156c
MI   MI0000181  ath-MIR156d
MI   MI0000182  ath-MIR156e
MI   MI0000183  ath-MIR156f
MI   MI0000184  ath-MIR157a
MI   MI0000185  ath-MIR157b
MI   MI0000186  ath-MIR157c
MI   MI0000187  ath-MIR157d
MI   MI0000653  osa-MIR156a
MI   MI0000654  osa-MIR156b
MI   MI0000655  osa-MIR156c
MI   MI0000656  osa-MIR156d
MI   MI0000657  osa-MIR156e
MI   MI0000658  osa-MIR156f
MI   MI0000659  osa-MIR156g
MI   MI0000660  osa-MIR156h
MI   MI0000661  osa-MIR156i
MI   MI0000662  osa-MIR156j
MI   MI0001082  ath-MIR156g
MI   MI0001083  ath-MIR156h
MI   MI0001090  osa-MIR156k
MI   MI0001091  osa-MIR156l
MI   MI0001456  zma-MIR156d
MI   MI0001457  zma-MIR156f
MI   MI0001458  zma-MIR156g
MI   MI0001459  zma-MIR156b
MI   MI0001460  zma-MIR156c
MI   MI0001461  zma-MIR156e
MI   MI0001462  zma-MIR156a
MI   MI0001463  zma-MIR156h
MI   MI0001464  zma-MIR156i
MI   MI0001504  sbi-MIR156a
MI   MI0001505  sbi-MIR156c
MI   MI0001506  sbi-MIR156b
MI   MI0001548  sbi-MIR156d
MI   MI0001752  mtr-MIR156
MI   MI0001754  sof-MIR156
MI   MI0001770  gma-MIR156d
MI   MI0001771  gma-MIR156e
MI   MI0001784  gma-MIR156a
MI   MI0001790  gma-MIR156b
MI   MI0001808  zma-MIR156j
MI   MI0001847  zma-MIR156k
MI   MI0001856  sbi-MIR156e
MI   MI0002184  ptc-MIR156a
MI   MI0002185  ptc-MIR156b
MI   MI0002186  ptc-MIR156c
MI   MI0002187  ptc-MIR156d
MI   MI0002188  ptc-MIR156e
MI   MI0002189  ptc-MIR156f
MI   MI0002190  ptc-MIR156g
MI   MI0002191  ptc-MIR156h
MI   MI0002192  ptc-MIR156i
MI   MI0002193  ptc-MIR156j
MI   MI0002194  ptc-MIR156k
MI   MI0003506  ppt-MIR156a
//
AC   MIPF0000009
ID   mir-29
MI   MI0000087  hsa-mir-29a
MI   MI0000105  hsa-mir-29b-1
MI   MI0000107  hsa-mir-29b-2
MI   MI0000143  mmu-mir-29b-1
MI   MI0000377  dme-mir-285
MI   MI0000576  mmu-mir-29a
MI   MI0000577  mmu-mir-29c
MI   MI0000712  mmu-mir-29b-2
MI   MI0000735  hsa-mir-29c
MI   MI0000862  rno-mir-29b-2
MI   MI0000863  rno-mir-29a
MI   MI0000864  rno-mir-29b-1
MI   MI0000865  rno-mir-29c
MI   MI0001166  gga-mir-29a
MI   MI0001167  gga-mir-29b-1
MI   MI0001265  gga-mir-29c
MI   MI0001266  gga-mir-29b-2
MI   MI0001344  dps-mir-285
MI   MI0001933  dre-mir-29b-1
MI   MI0001934  dre-mir-29b-2
MI   MI0001936  dre-mir-29b-3
MI   MI0001938  dre-mir-29a-1
MI   MI0002431  ssc-mir-29b
MI   MI0002460  ssc-mir-29c
MI   MI0002657  ggo-mir-29a
MI   MI0002658  age-mir-29a
MI   MI0002659  ppa-mir-29a
MI   MI0002660  ppy-mir-29a
MI   MI0002661  ptr-mir-29a
MI   MI0002662  mml-mir-29a
MI   MI0002663  sla-mir-29a
MI   MI0002664  lla-mir-29a
MI   MI0002665  mne-mir-29a
MI   MI0002726  ppy-mir-29b-1
MI   MI0002727  ptr-mir-29b-1
MI   MI0002728  ggo-mir-29b-1
MI   MI0002729  lla-mir-29b
MI   MI0002730  age-mir-29b
MI   MI0002731  ppa-mir-29b-1
MI   MI0002732  ptr-mir-29b-2
MI   MI0002733  ggo-mir-29b-2
MI   MI0002734  ppy-mir-29b-2
MI   MI0002735  sla-mir-29b
MI   MI0002736  mne-mir-29b
MI   MI0002737  ppa-mir-29b-2
MI   MI0003392  fru-mir-29a-1
MI   MI0003393  tni-mir-29a-1
MI   MI0003394  dre-mir-29a-2
MI   MI0003395  fru-mir-29b-2
MI   MI0003396  tni-mir-29b-2
MI   MI0003403  fru-mir-29a-2
MI   MI0003404  tni-mir-29a-2
MI   MI0003405  fru-mir-29b-1
MI   MI0003406  tni-mir-29b-1
MI   MI0004733  bta-mir-29a
MI   MI0004811  xtr-mir-29d
MI   MI0004812  xtr-mir-29b
MI   MI0004897  xtr-mir-29a
MI   MI0004918  xtr-mir-29c
MI   MI0005043  bta-mir-29b
MI   MI0005044  bta-mir-29c
MI   MI0005352  mdo-mir-29b
MI   MI0005353  mdo-mir-29a
//
AC   MIPF0000010
ID   MIR159
MI   MI0000189  ath-MIR159a
MI   MI0000218  ath-MIR159b
MI   MI0000544  ath-MIR319a
MI   MI0000545  ath-MIR319b
MI   MI0001085  ath-MIR159c
MI   MI0001086  ath-MIR319c
MI   MI0001092  osa-MIR159a
MI   MI0001093  osa-MIR159b
MI   MI0001094  osa-MIR159c
MI   MI0001095  osa-MIR159d
MI   MI0001096  osa-MIR159e
MI   MI0001097  osa-MIR159f
MI   MI0001098  osa-MIR319a
MI   MI0001099  osa-MIR319b
MI   MI0001572  sbi-MIR159
MI   MI0001573  sbi-MIR319
MI   MI0001751  mtr-MIR319
MI   MI0001756  sof-MIR159a
MI   MI0001757  sof-MIR159b
MI   MI0001758  sof-MIR159d
MI   MI0001759  sof-MIR159e
MI   MI0001760  sof-MIR159c
MI   MI0001773  gma-MIR159
MI   MI0001782  gma-MIR319a
MI   MI0001783  gma-MIR319b
MI   MI0001789  gma-MIR319c
MI   MI0001809  zma-MIR159a
MI   MI0001810  zma-MIR159b
